,name,street_type
211,Sofiebergsgatan,gatan
212,Brantbacken,backen
213,Stavstigen,other
214,Hallegatan,gatan
215,Brämaregatan,gatan
216,Hisingsgatan,gatan
217,Ekebergsgatan,gatan
218,Jägaregatan,gatan
219,Pallasgatan,gatan
220,Neptunusgatan,gatan
221,Rörstrandsgatan,gatan
222,Herkulesgatan,gatan
223,Tunnbindaregatan,gatan
224,Kvillegatan,gatan
225,Väderkvarnsgatan,gatan
226,Madängsgatan,gatan
227,Vågmästaregatan,gatan
228,Parmmätaregatan,gatan
229,Kvilletorget,torget
230,Panoramavägen,vägen
231,Rambergsvägen,vägen
232,Bergavägen,vägen
233,Västra Stillestorpsgatan,gatan
234,Östra Stillestorpsgatan,gatan
235,Fjällvindsgatan,gatan
236,Inlandsgatan,gatan
237,Gamla Rambergsvägen,vägen
238,Tillgängligheten,other
239,Solstigen,other
240,Övre Hallegatan,gatan
241,Åsgatan,gatan
242,Gunnar Engellaus Väg,other
243,Virvelvindsgatan,gatan
244,Löjtnantsgatan,gatan
245,Lillhagsvägen,vägen
246,Blankversgatan,gatan
247,Lerbäcksvägen,vägen
248,Minelundsvägen,vägen
249,Gjutjärnsgatan,gatan
250,Ringögatan,gatan
251,Klippan,other
252,Fiskhamnen,other
253,Skärgårdsgatan,gatan
254,Taubegatan,gatan
255,Lilla gatan,gatan
256,Jaegerdorffsplatsen,other
257,Birgittagatan,gatan
258,Kustroddaregatan,gatan
259,Carnegiegatan,gatan
260,Svanebäcksgatan,gatan
261,Silverkällegatan,gatan
262,Tegnérsgatan,gatan
263,Första Långgatan,gatan
264,Stigbergsliden,other
265,Johannes Kyrkogång,other
266,Anna Greta Wides Trappor,other
267,Masthuggstorget,torget
268,Haga Östergata,gatan
269,Tredje Långgatan,gatan
270,Pilgatan,gatan
271,Östra Skansgatan,gatan
272,Skolgatan,gatan
273,Husargatan,gatan
274,Södra Allégatan,gatan
275,Kaponjärgatan,gatan
276,Renströmsgatan,gatan
277,Johannebergsgatan,gatan
278,Olof Wijksgatan,gatan
279,Gösta Rahmns Gata,gatan
280,Kyrkstigen,other
281,Molinsgatan,gatan
282,Vasa Kyrkogata,gatan
283,Oscar Fredriks Kyrkogata,gatan
