,street_names
279,Gösta Rahmns Gata
280,Kyrkstigen
281,Molinsgatan
282,Vasa Kyrkogata
283,Oscar Fredriks Kyrkogata
284,Andra Långgatan
285,Fjärde Långgatan
286,Plantagegatan
287,Universitetsplatsen
288,Norra Gatan
289,PV Gatan
290,Karl Gustavsgatan
291,Vasaplatsen
292,Thorildsgatan
293,Föreningsgatan
294,Erik Dahlbergsgatan
295,Storgatan
296,Viktoriagatan
297,Södra Viktoriagatan
298,Viktoriabron
299,Bellmansgatan
300,Haga Kyrkogata
301,Haga Kyrkoplan
302,Övre Fogelsbergsgatan
303,Västergatan
304,Frihamnsmotet
305,Frihamnen
306,Ekedalsgatan
307,Hålekärrsgatan
308,Söderlingsgatan
309,Spetsbergsgatan
310,Hjortens trappor
311,Myntgatan
312,Kungsgatan
313,Vitögatan
314,Hjuviksvägen
315,Bergspromenaden
316,Övre Majorsgatan
317,Övre Djupedalsgatan
318,Prinsgatan
319,Värmlandsgatan
320,Vegagatan
321,Bangatan
322,Kastellgatan
323,Majorsgatan
324,Risåsgatan
325,Djupedalsgatan
326,Nedre Matrosgatan
327,Konstepidemins väg
328,Brunnsgatan
329,Landsvägsgatan
330,Leijonsparres väg
331,Hamneskärsgatan
332,Vingagatan
333,Kjellestadsgatan
334,Nordenskiöldsgatan
335,Järntorget
336,Stora Dammenstigen
337,Slottsskogspromenaden
338,A O Elliots Väg
339,Fågeldammsvägen
340,Museivägen
341,Björngårdsvägen
342,Hålekärrsbacken
343,August Kobbs stig
344,Björn Hedvalls stig
345,Dufvas backe
346,Säldammsbacken
347,Vedbacken
348,Bragestigen
349,Linnéplatsen
350,Rosengatan
351,Linnégatan
352,Kämpegatan
353,Djurgårdsgatan
354,Fiskhamnsmotet
355,Fiskhamnsgatan
356,Kolumbusgatan
357,Amiralitetsgatan
358,Kommendörsgatan
359,Dahlströmsgatan
360,Fredbergsgatan
361,Amerikagatan
362,Oljekvarnsgatan
363,Stenklevsgatan
364,Koopmansgatan
365,Stigbergstorget
366,Allmänna vägen
367,Pölgatan
368,Gamla Varvsgatan
369,Karl Johansgatan
370,Delawaregatan
371,Djurgårdsplatsen
372,Vargögatan
373,Haråsgatan
374,Kaptensgatan
375,Klareborgsgatan
376,Standargatan
377,Ankargatan
378,Skeppsgossegatan
379,Mors backe
380,Paternostergatan
381,Såggatan
382,Kabyssgatan
383,Toppsegelsgatan
384,Godhemsplatsen
385,Tellgrensgatan
386,Galateagatan
387,Krukmakaregatan
388,Mariebergsgatan
389,Lotsgatan
390,Styrmansgatan
391,Godhemsgatan
392,Ärlegatan
393,Kabelgatan
394,Kravellgatan
395,Vantgatan
396,Stortoppsgatan
397,Kustgatan
398,Blåsutgatan
399,Seglaregatan
400,Smålandsgatan
401,Västgötagatan
402,Hallandsgatan
403,Wadmansgatan
404,Hedåsgatan
405,Gärdsåsgatan
406,Sjustjärnan
407,Rappedalsvägen
408,Rannebergsvägen
409,Persiljegatan
410,Rosmaringatan
411,Paprikagatan
412,Körvelgatan
413,Mejramgatan
414,Anisgatan
415,Kryddnejlikegatan
416,Kryddpeppargatan
417,Kummingatan
418,Svarte Filips gata
419,Teleskopgatan
420,Sandspåret
421,Siriusbacken
422,Olof Rudbecksgatan
423,Härlandavägen
424,Lugnet
425,Gatsmygen
426,Kungsladugårdsgatan
427,Bokekullsgatan
428,Skäpplandsgatan
429,Landskapsstugevägen
430,Lilla Dammpromenaden
431,Björngårdsängen
432,Mjölkebacksstigen
433,Flaggatan
434,Polstjärnegatan
435,Stenbocksgatan
436,Cronackersgatan
437,Stålhandskegatan
438,Säterigatan
439,Åbogårdsgatan
440,Mörnersgatan
441,Prästvägen
442,Solskiftesgatan
443,Trekantsgatan
444,Kalendervägen
445,Vårmånadsgatan
446,Siriusgatan
447,Lilla Björn
448,Björnväktarens gata
449,Orion
450,Kvibergs Broväg
451,von Utfallsgatan
452,Sävenäsleden
453,Kvibergsvägen
454,Runstavsgatan
455,Slakthusgatan
456,Marieholmsgatan
457,Institutsgatan
458,Burgårdsplatsen
459,Richertsgatan
460,Valhallabron
461,Odinsplatsen
462,Polhemsplatsen
463,Åkareplatsen
464,Eva Rodhes Gata
465,Adler Salvius Gata
466,Barnhusgatan
467,Burggreveplatsen
468,Färgaregatan
469,Folkungagatan
470,Baldersgatan
471,Stampgatan
472,Baldersplatsen
473,Burggrevegatan
474,Alströmergatan
475,Svingeln
476,Bältgatan
477,Norra Ågatan
478,Almqvists Bro
479,Garverigatan
480,Lilla Garverigatan
481,Redbergsvägen
482,Gullbergsbrogatan
483,Bauersgatan
484,Kobbarnas Väg
485,Lagerströmsplatsen
486,Norra Gubberogatan
487,Södra Gubberogatan
488,Willinsbron
489,Källhusgatan
490,Vestagatan
491,Venusgatan
492,Norra Kustbanegatan
493,Ullevigatan
494,Rantorget
495,Johan Willins Gata
496,Smedmästare Karlssons Gångväg
497,Lilla Stampgatan
498,Drakegatan
499,Gårdavägen
500,Åvägen
501,Gårdatorget
502,Johan på Gårdas Gata
503,Vädursgatan
504,Blekeallén
505,Tomtegatan
506,Tritongatan
507,Gudmundsgatan
508,Underåsgatan
509,Sven Rydells gata
510,Burgårdsgatan
511,Elfrida Andrées Gata
512,Plejadgatan
513,Förmansgatan
514,Plåtslagaregatan
515,Fridhemsgatan
516,Grimmeredsvägen
517,Tonhöjdsgatan
518,Bohusgatan
519,Årstidsgatan
520,Rödstensvägen
521,Kattholmsvägen
522,Trebänavägen
523,Astronomgatan
524,Tycho Brahes Gata
525,Keplers gata
526,Danska Vägen
527,Stafettgatan
528,Syster Estrids Gata
529,Doktor Lindhs Gata
530,Atmosfärgatan
531,Stratosfärgatan
532,Bergsjöbadet
533,Universumsbacken
534,Kosmosgatan
535,Universumsgatan
536,Zenitgatan
537,Kometgatan
538,Komettorget
539,Nebulosagatan
540,Meteorgatan
541,Saturnusgatan
542,Plutovägen
543,Stjärnbildsbacken
544,Flygfältsgatan
545,Flygledarevägen
546,Pianogatan
547,Göteborgsvägen
548,Smörslottsgatan
549,Västra Skansgatan
550,Mellangatan
551,Frigångsgatan
552,Lilla Bergsgatan
553,Carl Grimbergsgatan
554,Spekebergsgatan
555,Medicinaregatan
556,Bruksgatan
557,Lilla Risåsgatan
558,Sveagatan
559,Carl Johans Kyrkoplan
560,Vänmötet
561,Stjernsköldsgatan
562,Kålgårdsgatan
563,Klintens väg
564,Sundshagsgatan
565,Skytteskogsgatan
566,Slottsskrivaregatan
567,Guvernörsgatan
568,Conricusgatan
569,Sandeklevsbacken
570,Stjärnbildsgatan
571,Liljeforsgatan
572,Gröndalsgatan
573,Doktor Weltzins Gata
574,Finn Malmgrensgatan
575,Åkerlingsgatan
576,Töpelsgatan
577,Brudaremossen
578,Olbersgatan
579,Dybecksgatan
580,Förtroligheten
581,Olof Skötkonungsgatan
582,Robertshöjdsgatan
583,Engdahlsgatan
584,Smidesgatan
585,Galvaniseringsgatan
586,Stenkolsgatan
587,Kolgruvegatan
588,Manufakturgatan
589,Kalkbruksgatan
590,Stålverksgatan
591,Järnmalmsgatan
592,Lergodsgatan
593,Bankogatan
594,Skiljemyntsgatan
595,Lilla Kapplandsgatan
596,Kullegatan
597,Grågåsgatan
598,Dalgångsgatan
599,Lindströmsgatan
600,Stenhuggaregatan
601,Hultgrensgatan
602,Bergsprängaregatan
603,Pilbågsgatan
604,Brushanegatan
605,Formskäraregatan
606,Schaktmästaregatan
607,Doktor Allards Gata
608,Östra Gunnesgärde
609,Västra Gunnesgärde
610,Gunnestorpsvägen
611,Lilleskogsvägen
612,Norumsgärde
613,Norra Stenebyvägen
614,Tångedal
615,Amund Grefwegatan
616,Landalagatan
617,Holtermansgatan
618,Daniel Petterssons gata
619,Raketgatan
620,Dalheimersgatan
621,Hildedalsgatan
622,Södra Hildedalsgatan
623,Finlandsvägen
624,Kjellbergsgatan
625,Pontus Wiknersgatan
626,Ålandsgatan
627,Lennart Torstenssonsgatan
628,Högåsplatsen
629,Högåstrappan
630,Ekmansgatan
631,Soterusgatan
632,Helmutsrogatan
633,Drivhusgatan
634,Egnahemsvägen
635,Kolonigatan
636,Rosensköldsgatan
637,Spaldingsgatan
638,Örnehufvudsgatan
639,von Gerdesgatan
640,Säve Flygplatsväg
641,Tideräkningsgatan
642,Wieselgrensgatan
643,Eketrägatan
644,Kyrkbytorget
645,Badvädersgatan
646,Svartedalsgatan
647,Långströmsgatan
648,Solstrålegatan
649,Norra Fjädermolnsgatan
650,Varmfrontsgatan
651,Rimfrostgatan
652,Temperaturgatan
653,Bernhards Gränd
654,Södra Fjädermolnsgatan
655,Orustgatan
656,Chapmansgatan
657,Kusttorget
658,Utlandagatan
659,Saltholmsgatan
660,Doktor Sven Johanssons Backe
661,Petrifängsgatan
662,Petterkattsgatan
663,Decembergatan
664,Allhelgonagatan
665,Adventsvägen
666,Tusenårsgatan
667,Doktor Saléns gata
668,Doktor Fries Torg
669,Mossgatan
670,Doktor Belfrages gata
671,Ängemarken
672,Lövskogsgatan
673,Fanny Gréns Väg
674,Södermalmsgatan
675,Gränsgatan
676,Askims Pilegårdsväg
677,Lilla Pusterviksgatan
678,Pusterviksgatan
679,Brogatan
680,Aschebergsgatan
681,Kapellplatsen
682,Kapellgatan
683,Borraregatan
684,Ängkärrsvägen
685,Kusttorgsmotet
686,Delsjövägen
687,Hundraårsgatan
688,Halvsekelsgatan
689,Kamgatan
690,Slåttängsgatan
691,Karin Boyes Gata
692,Aröds Industriväg
693,Hovåsvägen
694,Verkmästaregatan
695,Lindholmsvägen
696,Miraallén
697,Arbetaregatan
698,Gjutaregatan
699,Gamla Ceresgatan
700,Polluxgatan
701,Kastorsgatan
702,Slottsberget
703,Dockpromenaden
704,Svaleboskogen
705,Skalskärsgatan
706,Södra Fiskebäcksvägen
707,Norra Flundregatan
708,Rasmusgården
709,Klövervallsgatan
710,Slättadammsgatan
711,Kungsportsavenyen
712,Södra Hamngatan
713,Norra Deltavägen
714,Deltavägen
715,Swedenborgsgatan
716,Backavägen
717,Södra Deltavägen
718,Västra Magårdsvägen
719,Färgfabriksgatan
720,Rundbäcksgatan
721,Långängen
722,Tingstadsvägen
723,Stora Arödsgatan
724,Tofsvipegatan
725,Kornknarrsgatan
726,Steglitsegatan
727,Svalegatan
728,Västra Arödsgatan
729,Lilla Arödsgatan
730,Ormbunkegatan
731,Törnsångaregatan
732,Gamla Böneredsvägen
733,Nortagenevägen
734,Böneredsgången
735,Ellesbovägen
736,Rösbovägen
737,Chalmers Tvärgata
738,Gibraltarvallsvägen
739,Origovägen
740,Furuplatsen
741,Fyrverkaregatan
742,Egnahemsplatsen
743,Hedlundsgatan
744,Ljusstöparegatan
745,Skiljebacken
746,Tyrsjöliden
747,Tyrsjövägen
748,Kniparedsvägen
749,Rågårdsvägen
750,Lövmossevägen
751,Varpmossevägen
752,Tåledsvägen
753,Björkuddsgatan
754,Hammarliden
755,Ingatorpsgatan
756,Tapetseraregatan
757,Doktor Dahlströms Gata
758,Bergsjödalen
759,Korpvägen
760,Angereds Storåsväg
761,Storås Industrigata
762,Spadegatan
763,Grusåsvägen
764,Hammarkullens väg
765,Storås Ridhusväg
766,Ekevadsvägen
767,Linnarhultsvägen
768,Nolängsvägen
769,Gretas Gata
770,Nedre Linnarhultsvägen
771,Åliden
772,Åbranten
773,Åkanten
774,Åstranden
775,Åbrinken
776,Åkroken
777,Ostgatan
778,Smörgatan
779,Kallebäcks källväg
780,Kallebäcksvägen
781,Omvägen
782,Grafiska Vägen
783,Varbergsgatan
784,Falkenbergsgatan
785,Brynolfsgatan
786,Mäster Bengtsgatan
787,Österlyckan
788,Jättekullegatan
789,Orrebacksgatan
790,Torpagatan
791,Spelmansgatan
792,Gyllenkrooksgatan
793,Vidblicksgatan
794,Wijkandersgatan
795,Walleriusgatan
796,Palmstedtsgatan
797,Kortvågsgatan
798,Mellanvågsgatan
799,Markvågsgatan
800,Bandfiltersgatan
801,Elektrongatan
802,Örlogsvägen
803,Örnfelts Väg
804,Traneredsvägen
805,Bergakärrsgatan
806,Redegatan
807,Södra Vägen
808,Levgrensvägen
809,Mackliersgatan
810,Golvläggaregatan
811,Lillåsgatan
812,Pärt-Antons gata
813,Solvändsgatan
814,Annedals Trappor
815,Skeppsbron
816,Ögonmåttsgatan
817,Stenkastsgatan
818,Synhållsgatan
819,Verktumsgatan
820,Vitlinggatan
821,Bergskäddegatan
822,Lillövägen
823,Sikgatan
824,Abborregatan
825,Amalia Jönssons gata
826,Britta Sahlgrens gata
827,Hulda Lindgrens gata
828,Beatrice Lesslies gata
829,Västra Stationsvägen
830,Värslevägen
831,Långlyckevägen
832,Älvdansvägen
833,Askims Kyrkväg
834,Askims Svedjeväg
835,Trollängsvägen
836,Landhöjningsvägen
837,Hovås Länsmansväg
838,Stegebergsvägen
839,Anders Zornsgatan
840,Albert Engströmsgatan
841,Månskäregatan
842,Brödragatan
843,Bäfverfeltsgatan
